,match_count,team_count
Iron,6241,2515
Bronze,18837,7978
Silver,36951,15881
Gold,55651,24079
Platinum,60709,26353
Emerald,52712,23025
Diamond,70742,30258
Master,57074,24019
Grandmaster,45456,18879
Challenger,4775,1854
Unranked,145757,62424
